rank,error_id,location,trigger,current_copy,user_risk,proposed_replacement,implementation_status,verification_result
1,ERR-001,src/projectforge/cli.py:evolve,The user-visible warning or error branch in `evolve` is reached.,Evolution failed (exit {value}). Try --verbose for details.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge could not apply this change. Your existing project is unchanged where possible; run `forge doctor`, then retry.",implemented,full suite passed: 579 tests; ruff passed
2,ERR-002,src/projectforge/scaffold_completion.py:complete_scaffold and src/projectforge/cli.py:main,A required scaffold record or optional completion artifact cannot be written.,Python OS exception traceback.,High: an expensive run ended with a stack trace and unclear preservation state.,Preserve the project and explain whether the required record or optional evidence failed.,implemented,full suite passed: 579 tests; ruff passed
3,ERR-003,src/projectforge/cli.py:_run_replay_prompts,`_run_replay_prompts` exits before completing successfully.,Replay phase '{value}' failed (exit {value}).,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Replay stopped before it finished. Keep the partial project, fix the reported setup issue, then run replay again.",implemented,full suite passed: 579 tests; ruff passed
4,ERR-004,src/projectforge/design_templates.py and media_assets.py:file operations,A selected template or media source cannot be read or copied.,Python OS exception traceback.,High: local paths and filesystem details could be exposed.,Explain which user action failed and ask the user to check read/write access before retrying.,implemented,full suite passed: 579 tests; ruff passed
5,ERR-005,src/projectforge/execution_state.py:_atomic_write,Resume evidence cannot be written.,Python OS exception traceback.,High: the user cannot tell whether resuming the partial project is safe.,"Forge could not save resume information. Keep the partial project, make the project folder writable, then retry.",implemented,full suite passed: 579 tests; ruff passed
6,ERR-006,src/projectforge/failure_taxonomy.py:classify_provider_failure,`classify_provider_failure` exits before completing successfully.,"The provider phase failed{value} for an unclassified reason. Preserve partial output, inspect the redacted failure, then repeat with `--resume`.","The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Project generation stopped for an unexpected reason. Keep the partial project, run `forge doctor`, then retry with `--resume`.",implemented,full suite passed: 579 tests; ruff passed
7,ERR-007,src/projectforge/adapters/base.py:execute,The user-visible warning or error branch in `execute` is reached.,Command not found: {value},"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","The selected AI tool could not start. Run `forge doctor`, fix the reported setup issue, then retry with `--resume`.",implemented,full suite passed: 579 tests; ruff passed
8,ERR-008,src/projectforge/cli.py:_validate_backend_override,`_validate_backend_override` receives an unavailable or unsupported choice.,[red]Unknown backend '{value}'. Choose from: {value}[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]That AI tool choice is not available. Run `forge --help` to see valid `--use` values.[/red],implemented,full suite passed: 579 tests; ruff passed
9,ERR-009,src/projectforge/cli.py:conventions_validate,`conventions_validate` detects credential-shaped content.,Validation failed: credential-like content ({value}).,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.","Forge found content that looks like a credential. Remove secrets from the active convention files, then validate again.",implemented,full suite passed: 579 tests; ruff passed
10,ERR-010,src/projectforge/cli.py:_reject_secret_inputs,`_reject_secret_inputs` detects credential-shaped content.,[red bold]Possible secrets detected in {value}: {value}[/red bold] [red]Remove credentials before passing them to an AI CLI.[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red bold]Forge found content in {value} that looks like a credential.[/red bold] [red]Remove it and use a placeholder before continuing.[/red],implemented,full suite passed: 579 tests; ruff passed
11,ERR-011,src/projectforge/scaffold_request.py:_validate_auth_provider,The user-visible warning or error branch in `_validate_auth_provider` is reached.,[red]Auth provider '{value}' is not supported for stack '{value}'. Choose from: {value}[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]That authentication option does not work with this stack. Choose one of: {value}.[/red],implemented,full suite passed: 579 tests; ruff passed
12,ERR-012,src/projectforge/scaffold_request.py:_validate_auth_provider,`_validate_auth_provider` receives an unavailable or unsupported choice.,[red]Unknown auth provider '{value}'. Choose from: {value}[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]That authentication option is not available. Choose one of: {value}.[/red],implemented,full suite passed: 579 tests; ruff passed
13,ERR-013,src/projectforge/scaffold_request.py:_validate_auth_provider,The user-visible warning or error branch in `_validate_auth_provider` is reached.,[red]Stack '{value}' does not support --auth-provider.[/red],"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",[red]This stack does not support an authentication option. Remove `--auth-provider` and try again.[/red],implemented,full suite passed: 579 tests; ruff passed
14,ERR-014,src/projectforge/config.py:get_backend_status,`get_backend_status` receives an unavailable or unsupported choice.,Unsupported backend.,"The original wording exposed implementation detail, lacked a recovery step, or could reveal local failure output.",That AI tool is not supported.,implemented,full suite passed: 579 tests; ruff passed
